Bank  Addr  Label                                                               Size
   0  ece6  lebzp                                                               0xa
   0  ecf0  ule                                                                 0xa
   0  ecfa  uble                                                                0xa
   0  ed04  ulezp                                                               0xa
   0  ed0e  ublezp                                                              0xa
   0  ed18  asl                                                                 0x27
   0  ed3f  aslzp                                                               0xf
   0  ed4e  asr                                                                 0x29
   0  ed77  asrzp                                                               0x11
   0  ed88  lsr                                                                 0x27
   0  edaf  lsrzp                                                               0xf
   0  edbe  smul                                                                0x13
   0  edd1  smul_no_invert_primary                                              0x25
   0  edf6  smul_no_invert_secondary                                            0x1b
   0  ee11  smul_end                                                            0x2
   0  ee13  umul                                                                0x24
   0  ee37  umul16                                                              0x27
   0  ee5e  umul8                                                               0x19
   0  ee77  sdiv                                                                0x13
   0  ee8a  sdiv_no_invert_primary                                              0x25
   0  eeaf  sdiv_no_invert_secondary                                            0x1b
   0  eeca  sdiv_end                                                            0x2
   0  eecc  udiv                                                                0x45
   0  ef11  smod                                                                0x4c
   0  ef5d  umod                                                                0x45
   0  efa2  ___case                                                             0x46
   0  efe8  hook                                                                0x3
   0  efeb  setvdc                                                              0x2d
   0  f018  getvdc                                                              0x15
   0  f02d  _cls                                                                0xa
   0  f037  _cls.1                                                              0x22
   0  f059  _set_font_pal                                                       0x12
   0  f06b  _set_font_color.2                                                   0xe
   0  f079  _set_font_addr                                                      0x20
   0  f099  _get_font_pal                                                       0xa
   0  f0a3  _get_font_addr                                                      0x18
   0  f0bb  _load_default_font                                                  0x2
   0  f0bd  _load_default_font.1                                                0xd
   0  f0ca  _load_default_font.2                                                0x36
   0  f100  _load_font.2                                                        0xd
   0  f10d  _load_font.3                                                        0x2b
   0  f138  _put_digit.3                                                        0x7
   0  f13f  _put_digit.2                                                        0x3
   0  f142  _put_digit.main                                                     0x2
   0  f144  _put_digit.sub                                                      0x17
   0  f15b  _put.xy                                                             0x7
   0  f162  _put.vram                                                           0x12
   0  f174  _put_char.3                                                         0x7
   0  f17b  _put_char.2                                                         0x3
   0  f17e  _put_char.main                                                      0x1a
   0  f198  _put_raw.3                                                          0x7
   0  f19f  _put_raw.2                                                          0x3
   0  f1a2  _put_raw.main                                                       0xb
   0  f1ad  _put_number.3                                                       0x12
   0  f1bf  _put_number.4                                                       0x12
   0  f1d1  _put_hex.4                                                          0x7
   0  f1d8  _put_hex.3                                                          0x3
   0  f1db  _put_hex.main                                                       0x3f
   0  f21a  _put_string.3                                                       0x7
   0  f221  _put_string.2                                                       0x3
   0  f224  _put_string.main                                                    0x24
   0  f248  _vsync                                                              0x4
   0  f24c  _vsync.1                                                            0x4
   0  f250  _vreg.1                                                             0x6
   0  f256  _vreg.2                                                             0xe
   0  f264  _vram_addr.2                                                        0xb
   0  f26f  _scan_map_table.3                                                   0xa1
   0  f310  _set_map_data.1                                                     0x75
   0  f385  _set_map_data.4                                                     0x9
   0  f38e  _set_map_data.3                                                     0x6
   0  f394  _set_map_data.main                                                  0x20
   0  f3b4  _get_map_width                                                      0x7
   0  f3bb  _get_map_height                                                     0x7
   0  f3c2  _set_tile_data.1                                                    0x38
   0  f3fa  _set_tile_data.4                                                    0x2e
   0  f428  _load_tile                                                          0x48
   0  f470  _load_map.6                                                         0x8c
   0  f4fc  _spr_set                                                            0x1e
   0  f51a  _spr_hide                                                           0x9
   0  f523  _spr_hide.1                                                         0xe
   0  f531  _spr_hide.sub                                                       0x15
   0  f546  _spr_show                                                           0x9
   0  f54f  _spr_show.1                                                         0xe
   0  f55d  _spr_x                                                              0xf
   0  f56c  _spr_get_x                                                          0xe
   0  f57a  _spr_y                                                              0x10
   0  f58a  _spr_get_y                                                          0xd
   0  f597  _spr_pattern                                                        0x19
   0  f5b0  _spr_get_pattern                                                    0x19
   0  f5c9  _spr_ctrl.2                                                         0x12
   0  f5db  _spr_pal                                                            0x10
   0  f5eb  _spr_get_pal                                                        0x9
   0  f5f4  _spr_pri                                                            0xf
   0  f603  _satb_update                                                        0x2
   0  f605  _satb_update.1                                                      0x8
   0  f60d  satb_update                                                         0x56
   0  f663  _init_satb                                                          0x0
   0  f663  _reset_satb                                                         0x12
   0  f675  _get_color.1                                                        0x9
   0  f67e  _fade_color.2                                                       0x0
   0  f67e  _fade_color.3                                                       0x45
   0  f6c3  _set_color_rgb.4                                                    0x21
   0  f6e4  _put_tile.3                                                         0x17
   0  f6fb  _put_tile.2                                                         0xb
   0  f706  _put_tile_8                                                         0x31
   0  f737  _put_tile_16                                                        0x8e
   0  f7c5  _map_get_tile.2                                                     0xa
   0  f7cf  _map_put_tile.3                                                     0x8
   0  f7d7  _map_calc_tile_addr                                                 0x47
   0  f81e  _scroll                                                             0x42
   0  f860  _scroll_disable                                                     0x9
   0  f869  _set_screen_size                                                    0x4
   0  f86d  _set_xres.1                                                         0x4
   0  f871  _set_xres.2                                                         0x8
   0  f879  readvram                                                            0x1a
   0  f893  writevram                                                           0x29
   0  f8bc  _gfx_setbgpal                                                       0x9
   0  f8c5  _gfx_init                                                           0x12
   0  f8d7  _gfx_clear                                                          0x30
   0  f907  _gfx_plot.3                                                         0x12
   0  f919  _gfx_point.2                                                        0x12
   0  f92b  _gfx_line.5                                                         0x12
   0  f93d  _set_map_tile_type                                                  0x4
   0  f941  _set_map_tile_base                                                  0xc
   0  f94d  _set_map_pals.1                                                     0x10
   0  f95d  _abs                                                                0xf
   0  f96c  _mov32.2                                                            0x4
   0  f970  _mov32.sub                                                          0xa
   0  f97a  _add32.2                                                            0x13
   0  f98d  _sub32.2                                                            0x13
   0  f9a0  _mul32.2                                                            0x38
   0  f9d8  _div32.2                                                            0x1
   0  f9d9  _com32.1                                                            0x10
   0  f9e9  _cmp32.2                                                            0x1c
   0  fa05  _bm_check                                                           0x21
   0  fa26  _bm_testram                                                         0x21
   0  fa47  _bm_format                                                          0x3f
   0  fa86  _bm_free                                                            0x4a
   0  fad0  _bm_size                                                            0x43
   0  fb13  _bm_rawread                                                         0x25
   0  fb38  _bm_rawwrite.2                                                      0x27
   0  fb5f  _bm_exist                                                           0x16
   0  fb75  _bm_sizeof                                                          0x24
   0  fb99  _bm_errno                                                           0x5
   0  fb9e  _bm_id                                                              0x8
   0  fba6  _bm_getptr.2                                                        0x12
   0  fbb8  _bm_delete                                                          0x12
   0  fbca  _bm_read.4                                                          0x12
   0  fbdc  _bm_write.4                                                         0x12
   0  fbee  _bm_create.2                                                        0x12
   0  fc00  _bm_open                                                            0x12
   0  fc12  _bm_enable                                                          0x12
   0  fc24  _bm_disable                                                         0x12
   0  fc36  _bm_unlock                                                          0x12
   0  fc48  _joy                                                                0x8
   0  fc50  _joytrg                                                             0x8
   0  fc58  _joyold                                                             0x8
   0  fc60  _joybuf                                                             0x8
   0  fc68  _mouse_exists                                                       0x5
   0  fc6d  _mouse_disable                                                      0x6
   0  fc73  _mouse_enable                                                       0x6
   0  fc79  _mouse_x                                                            0x5
   0  fc7e  mousneg                                                             0x3
   0  fc81  _mouse_y                                                            0x5
   0  fc86  mouspos                                                             0x2
   0  fc88  _set_joy_callback.4                                                 0x26
   0  fcae  _get_joy_events.2                                                   0xb
   0  fcb9  _get_joy_events.1                                                   0x1
   0  fcba  _get_joy_events.sub                                                 0x8
   0  fcc2  _clear_joy_events                                                   0x24
   0  fce6  _clock_hh                                                           0x5
   0  fceb  _clock_mm                                                           0x5
   0  fcf0  _clock_ss                                                           0x5
   0  fcf5  _clock_tt                                                           0x5
   0  fcfa  _clock_reset                                                        0xd
   0  fd07  _poke.2                                                             0x4
   0  fd0b  _pokew.2                                                            0x9
   0  fd14  _peek                                                               0x9
   0  fd1d  _peekw                                                              0xc
   0  fd29  _farpeekb.1                                                         0x11
   0  fd3a  _farpeekw.1                                                         0xe
   0  fd48  _farpeekw.fast                                                      0x9
   0  fd51  _farpeekw.sub                                                       0x12
   0  fd63  _farmemget.3                                                        0x12
   0  fd75  _srand                                                              0x8
   0  fd7d  _srand32.2                                                          0x4
   0  fd81  _rand                                                               0x8
   0  fd89  _random                                                             0x9
   0  fd92  mousinit                                                            0x12
   0  fda4  mousread                                                            0x12
   0  fdb6  _disp_on                                                            0xa
   0  fdc0  _disp_off                                                           0x8
   0  fdc8  set_intvec                                                          0x1e
   0  fde6  wait_vsync                                                          0x73
   0  fe59  read_joypad                                                         0x1a7
   1  6000  font_1                                                              0x300
   1  a300  lib2_load_palette                                                   0x2d
   1  a32d  lib2_xfer_palette                                                   0x6b
   1  a398  lib2_load_bat                                                       0x35
   1  a3cd  lib2_load_map_16                                                    0x101
   1  a4ce  lib2_load_map_8                                                     0x89
   1  a557  load_map_exit                                                       0xa
   1  a561  load_map_init                                                       0x8d
   1  a5ee  load_map_next_line                                                  0x8e
   1  a67c  lib2_load_font                                                      0x7f
   1  a6fb  lib2_init_vdc                                                       0x94
   1  a78f  lib2_set_xres                                                       0xa1
   1  a830  lib2_init_psg                                                       0x25
   1  a855  lib2____builtin_ffs.1                                               0x20
   1  a875  build_disp_list                                                     0xb7
   1  a92c  lib2_gfx_init                                                       0x45
   1  a971  lib2_put_number.4                                                   0x7
   1  a978  lib2_put_number.3                                                   0x3
   1  a97b  putnum.main                                                         0x4f
   1  a9ca  lib2_gfx_line.5                                                     0x28a
   1  ac54  lib2_gfx_plot.3                                                     0xbb
   1  ad0f  lib2_gfx_point.2                                                    0x46
   1  ad55  gfx_bittbl                                                          0x8
   1  ad5d  gfx_bittbl2                                                         0x8
   1  ad65  gfx_getaddr                                                         0x57
   1  adbc  lib2_bm_getptr.2                                                    0x56
   1  ae12  lib2_bm_delete                                                      0x5f
   1  ae71  lib2_bm_read.4                                                      0x4f
   1  aec0  lib2_bm_write.4                                                     0x3f
   1  aeff  lib2_bm_create.2                                                    0xc0
   1  afbf  lib2_bm_open                                                        0x83
   1  b042  lib2_bm_enable                                                      0x17
   1  b059  lib2_bm_unlock                                                      0x1b
   1  b074  lib2_bm_disable                                                     0xb
   1  b07f  lib2_bm_checksum                                                    0x36
   1  b0b5  lib2_bm_setup_ptr                                                   0x6d
   1  b122  lib2_farmemget.3                                                    0x92
   1  b1b4  lib2_mousinit                                                       0x8f
   1  b243  lib2_mousread                                                       0x95
   1  b2d8  delay240                                                            0xc
   1  b2e4  delay14                                                             0x1
   1  b2e5  msbutt                                                              0x1a
   1  b2ff  lib2_readjoy                                                        0xd01
   2  c000  HuTrackEngine.Parser                                                0x135
   2  c135  HuTrackEngine.ParseEntry                                            0xb6
   2  c1eb  HuTrackEngine.ParseEntry.disabled                                   0x7a
   2  c265  HuTrackEngine.FX.disabled.store                                     0x8f
   2  c2f4  HuTrackEngine.parse.extFX                                           0x6d
   2  c361  HuTrackEngine.parse.extFX.disabled                                  0x4c
   2  c3ad  HuTrackEngine.Channel.update                                        0x54
   2  c401  HuTrackEngine.Channel.update.Note                                   0x8f
   2  c490  HuTrackEngine.Channel.update.Octave                                 0x1
   2  c491  HuTrackEngine.Channel.update.Volume                                 0x2f
   2  c4c0  HuTrackEngine.Channel.update.FX                                     0x23
   2  c4e3  HuTrackEngine.Channel.update.FX.arg                                 0x1d
   2  c500  HuTrackEngine.Channel.update.FX234                                  0x9c
   2  c59c  HuTrackEngine.Channel.update.Instrument                             0x1c
   2  c5b8  HuTrack.channel.FX.handler                                          0x32c
   2  c8e4  HuTrackEngine.Channel.output                                        0x2b
   2  c90f  HuTrackEngine.Channel.instrument                                    0xc5
   2  c9d4  HuTrackEngine.Channel.setSample                                     0x9c
   2  ca70  HuTrackEngine.Channel.waveformEnv                                   0xcb
   2  cb3b  HuTrackEngine.Channel.volumeEnv                                     0x5d
   2  cb98  HuTrackEngine.Channel.arpEnv                                        0xbc
   2  cc54  HuTrackEngine.Channel.SetFrequency                                  0x11f
   2  cd73  HuTrackEngine.channel.DelayAndCut                                   0x66
   2  cdd9  HuTrackEngine.Process.envelopes                                     0x46
   2  ce1f  HuTrackEngine.Channel.exeFX                                         0x4d
   2  ce6c  HuTrackEngine.Channel.exeFX.semitone.UP                             0x63
   2  cecf  HuTrackEngine.Channel.exeFX.semitone.DOWN                           0x5d
   2  cf2c  HuTrackEngine.Channel.exeFX.vibrato                                 0x20
   2  cf4c  HuTrackEngine.Channel.exeFX.volSlideUp                              0x2e
   2  cf7a  HuTrackEngine.Channel.exeFX.volSlideDown                            0x2b
   2  cfa5  HuTrackEngine.Channel.exeFX.portaSlideUp                            0x28
   2  cfcd  HuTrackEngine.Channel.exeFX.portaSlideDown                          0x2a
   2  cff7  HuTrackEngine.Channel.exeFX.overload                                0x1
   2  cff8  HuTrackEngine.Channel.exeFX.corruption                              0x1
   2  cff9  HuTrackEngine.Channel.exeFX.hardsync                                0x1
   2  cffa  HuTrackEngine.reset.overload                                        0xd
   2  d007  HuTrackEngine.reset.corruption                                      0xd
   2  d014  HuTrackEngine.reset.hardsync                                        0xd
   2  d021  HuTrackEngine._htk.WSG.control                                      0xf
   2  d030  HuTrackEngine._htk.WSG.freq                                         0x12
   2  d042  HuTrackEngine._htk.WSG.DDA                                          0x8
   2  d04a  HuTrackEngine._htk.WSG.pan                                          0x13
   2  d05d  HuTrackEngine._htk.WSG.noise                                        0xf
   2  d06c  HuTrackEngine.8x8mul                                                0x1a
   2  d086  HuTrackEngine.tables.noteFromCombo                                  0x60
   2  d0e6  HuTrackEngine.tables.octaveFromCombo                                0x60
   2  d146  BaseNoteFreq.base                                                   0x2
   2  d148  BaseNoteFreq                                                        0x18
   2  d160  NoteCents.table.base                                                0x1
   2  d161  NoteCents.table                                                     0xc
   2  d16d  VibratoTable                                                        0x40
   2  d1ad  VibratoScaleTable                                                   0x10
   2  d1bd  SampleNumDecode                                                     0x0
   2  d1bd  NoiseTable                                                          0xc
   2  d1c9  NoiseVolumeAdjust                                                   0x37
   2  d200  square_pos_hi                                                       0x200
   2  d400  square_neg_hi                                                       0x200
   2  d600  HuTrack.verson                                                      0x6
   2  d606  HuTrackEngine.Init                                                  0xd
   2  d613  HuTrackEngine.Reset                                                 0xe1
   2  d6f4  HuTrackEngine.QueueSong                                             0x16
   2  d70a  HuTrackEngine.pause                                                 0x3
   2  d70d  HuTrackEngine.FadeToPause                                           0x1
   2  d70e  HuTrackEngine.FadeOut                                               0x1
   2  d70f  HuTrackEngine.FadeIn                                                0x1
   2  d710  HuTrackEngine.SetVolume                                             0x9
   2  d719  HuTrackEngine.stop                                                  0x1
   2  d71a  HuTrackEngine.Continue                                              0x3
   2  d71d  HuTrackEngine.FadeToContinue                                        0x1
   2  d71e  HuTrackEngine.SaveSongPosition                                      0x1
   2  d71f  HuTrackEngine.LoadSongPosition                                      0x1
   2  d720  HuTrackEngine.setChanForSFX                                         0x2d
   2  d74d  HuTrackEngine.chanReleaseSFX                                        0xc
   2  d759  HuTrackEngine.SfxPcmRequest                                         0x24
   2  d77d  HuTrackEngine.SfxPcmStatus                                          0x1a
   2  d797  HuTrackEngine.playSong                                              0x27a
   2  da11  _HuSFXprocess                                                       0x5
   2  da16  _HuSFXplay.5                                                        0x2d
   2  da43  HuSFX.process                                                       0x5bd
   3  4000  LL0                                                                 0x238
   3  4238  _wf_set                                                             0xa0
   3  42d8  _SFX_1                                                              0x2d
   3  4305  _SFX_2                                                              0x2d
   3  4332  _SFX_3                                                              0x1cce
   4  4000  _SMB3Overworld                                                      0xf57
   4  4f57  _FF3_smeared_graffiti                                               0x2537
   5  548e  _Initial_Velocity                                                   0x1b49
   6  4fd7  _Bottom_Sweep                                                       0x28f9
   7  58d0  _Stormy_Edge_Stage                                                  0x1103
   8  49d3  _pcm1                                                               0x369c
   a  406f  _pcm2                                                               0x1826
   a  5895  _pcm3                                                               0x15e1
   b  4e76  _pcm4                                                               0x518a
   e  6000  ovlarray                                                            0x2a29
   f  4a29  _pcm5                                                               0xcbb8
  15  55e1  _pcm6                                                               0x43f7
  17  59d8  _pcm7                                                               0x6cc3
  1b  469b  _pcm8                                                               0x854d
  1f  4be8  _pcm9                                                               0x3237
  20  5e1f  _pcm10                                                              0x2676a
  34  4589  _pcm11                                                              0x17375
  3f  58fe  _pcm12                                                              0xb313
  45  4c11  _pcm13                                                              0x73ef
  49  a000  _main                                                               0xbaf
  49  abaf  _loadPcmPointers                                                    0x5bd
  49  b16c  _initSFXcollections                                                 0x1a6
  49  b312  _playSFX                                                            0x1a6
  49  b4b8  _stopSFX                                                            0xdb
  49  b593  _updateChipSFX                                                      0xa6d (????)
  f0  0000  _htk.WSG_LFO_ON                                                     ....
  f0  0000  _htk.TMR_OFF                                                        ....
  f0  0000  USING_NEWPROC                                                       ....
  f0  0000  START_BANK                                                          ....
  f0  0000  JOY_BITIII                                                          ....
  f0  0000  _htk.PAGE_0000                                                      ....
  f0  0000  IRQ2                                                                ....
  f0  0000  XRES_SHARP                                                          ....
  f0  0000  NO_FLIP                                                             ....
  f0  0000  VADDR_INC_1                                                         ....
  f0  0000  _htk._7.00khz                                                       ....
  f0  0000  ARG_NONE                                                            ....
  f0  0000  CDROM                                                               ....
  f0  0000  _htk.WSG_CHAN_OFF                                                   ....
  f0  0000  JOY_BITI                                                            ....
  f0  0000  NEED_SOUND_CODE                                                     ....
  f0  0000  video_reg_l                                                         ....
  f0  0000  LIB1_BANK                                                           ....
  f0  0000  _htk.WSG_MODE_WSG                                                   ....
  f0  0000  C0.                                                                 ....
  f0  0000  BGMAP_SIZE_32x32                                                    ....
  f0  0000  video_reg                                                           ....
  f0  0000  DEVELO                                                              ....
  f0  0000  C0_                                                                 ....
  f0  0000  videoport                                                           ....
  f0  0000  _htk.WSG_NOISE_OFF                                                  ....
  f0  0000  NO_FLIP_X                                                           ....
  f0  0000  NO_FLIP_Y                                                           ....
  f0  0000  SIZE_16x16                                                          ....
  f0  0000  _htk.MPR0                                                           ....
  f0  0000  _bank_base                                                          ....
  f0  0001  _htk.PAGE_2000                                                      ....
  f0  0001  ARG_REG                                                             ....
  f0  0001  IRQ1                                                                ....
  f0  0001  SUPPORT_MOUSE                                                       ....
  f0  0001  JOY_III                                                             ....
  f0  0001  _htk._3.50kha                                                       ....
  f0  0001  MAGICKIT                                                            ....
  f0  0001  video_reg_h                                                         ....
  f0  0001  NEED_SOUND_BANK                                                     ....
  f0  0001  LIB2_BANK                                                           ....
  f0  0001  JOY_I                                                               ....
  f0  0001  BGMAP_SIZE_64x32                                                    ....
  f0  0001  FONT_BANK                                                           ....
  f0  0001  JOY_BITII                                                           ....
  f0  0001  _htk.TMR_ON                                                         ....
  f0  0001  JOY_BITIV                                                           ....
  f0  0001  REG_AX                                                              ....
  f0  0001  SIZE_32x16                                                          ....
  f0  0001  HUC                                                                 ....
  f0  0001  C0_sharp                                                            ....
  f0  0001  C0.S                                                                ....
  f0  0001  _htk.MPR1                                                           ....
  f0  0001  _AX                                                                 ....
  f0  0002  SOUND_BANK                                                          ....
  f0  0002  video_data                                                          ....
  f0  0002  JOY_BITSEL                                                          ....
  f0  0002  _htk.PAGE_4000                                                      ....
  f0  0002  _htk._2.33kha                                                       ....
  f0  0002  TIMER                                                               ....
  f0  0002  JOY_BITV                                                            ....
  f0  0002  D0.                                                                 ....
  f0  0002  ARG_IMMED                                                           ....
  f0  0002  x_00137                                                             ....
  f0  0002  D0_                                                                 ....
  f0  0002  REG_AY                                                              ....
  f0  0002  video_data_l                                                        ....
  f0  0002  JOY_II                                                              ....
  f0  0002  JOY_IV                                                              ....
  f0  0002  _htk.MPR2                                                           ....
  f0  0002  _AY                                                                 ....
  f0  0003  CONST_BANK                                                          ....
  f0  0003  ARG_ABS                                                             ....
  f0  0003  _XY                                                                 ....
  f0  0003  _htk.PAGE_6000                                                      ....
  f0  0003  JOY_BITRUN                                                          ....
  f0  0003  _htk._1.75kha                                                       ....
  f0  0003  ARG_ABSOLUTE                                                        ....
  f0  0003  JOY_BITVI                                                           ....
  f0  0003  video_data_h                                                        ....
  f0  0003  BGMAP_SIZE_128x32                                                   ....
  f0  0003  NMI                                                                 ....
  f0  0003  REG_XY                                                              ....
  f0  0003  D0_sharp                                                            ....
  f0  0003  D0.S                                                                ....
  f0  0003  _htk.MPR3                                                           ....
  f0  0004  _htk.PAGE_8000                                                      ....
  f0  0004  REG_AXY                                                             ....
  f0  0004  JOY_SEL                                                             ....
  f0  0004  HUC_USER_RESERVED                                                   ....
  f0  0004  _AXY                                                                ....
  f0  0004  ARG_INDIRECT                                                        ....
  f0  0004  VSYNC                                                               ....
  f0  0004  E0.                                                                 ....
  f0  0004  JOY_V                                                               ....
  f0  0004  BGMAP_SIZE_32x64                                                    ....
  f0  0004  HUC_NUM_SCROLLS                                                     ....
  f0  0004  E0_                                                                 ....
  f0  0004  JOY_BITUP                                                           ....
  f0  0004  XRES_SOFT                                                           ....
  f0  0004  _htk.MPR4                                                           ....
  f0  0005  REG_ACC                                                             ....
  f0  0005  ARG_STRING                                                          ....
  f0  0005  _htk.PAGE_A000                                                      ....
  f0  0005  _ACC                                                                ....
  f0  0005  _Acc                                                                ....
  f0  0005  HSYNC                                                               ....
  f0  0005  BGMAP_SIZE_64x64                                                    ....
  f0  0005  JOY_BITRT                                                           ....
  f0  0005  E0_sharp                                                            ....
  f0  0005  E0.S                                                                ....
  f0  0005  _htk.MPR5                                                           ....
  f0  0006  _IX                                                                 ....
